feature,all_nan,na_count,na_frac,unique_count,var,most_freq_ratio,is_constant,is_near_constant,good_na
TEMP__TEMP_skewness,False,0,0.0,73696,0.248315855782626,0.00017247784323090804,False,False,True
TEMP__TEMP_std,False,0,0.0,64479,0.0010834310373511946,0.0005174335296927241,False,False,True
TEMP__TEMP_sum,False,0,0.0,53730,134185.01509969795,0.00018574536963328556,False,False,True
TEMP__TEMP_svd_entropy,False,0,0.0,74957,1.9492689200044487e-07,6.63376320118877e-05,False,False,True
ACC.Z__ACC.Z_kurtosis,False,33,0.00043782837127845885,73271,4470.168610856653,0.0006238468787746054,False,False,True
ACC.Z__ACC.Z_skewness,False,33,0.00043782837127845885,73599,8.356463668087981,0.0005840268652358008,False,False,True
ACC.X__ACC.X_kurtosis,False,125,0.0016584408002971926,72600,6854.134920595907,0.0007575052826026287,False,False,True
ACC.X__ACC.X_skewness,False,125,0.0016584408002971926,73119,9.116558978713106,0.0003986869908434888,False,False,True
ACC.Y__ACC.Y_kurtosis,False,405,0.005373348192962904,73153,3918.66548048981,0.00024010564648445316,False,False,True
ACC.Y__ACC.Y_skewness,False,405,0.005373348192962904,73510,8.348184622747883,0.00034681926714421013,False,False,True
BVP.HRV__num_ibis,False,17147,0.22749827522156768,112,246.76414777293263,0.03127522541863461,False,False,True
BVP.HRV__hrv_CSI,False,17390,0.23072228413734544,56760,0.22814307114365714,0.00032768790314235453,False,False,True
BVP.HRV__hrv_CSI_Modified,False,17390,0.23072228413734544,56760,342740.8871216495,0.00032768790314235453,False,False,True
BVP.HRV__hrv_CVI,False,17390,0.23072228413734544,56744,0.17920776154408358,0.00032768790314235453,False,False,True
BVP.HRV__hrv_SD1,False,17390,0.23072228413734544,55617,4447.232025612302,0.00032768790314235453,False,False,True
BVP.HRV__hrv_SD2,False,17390,0.23072228413734544,56743,6109.212566965788,0.00032768790314235453,False,False,True
BVP.HRV__hrv_SD2SD1,False,17390,0.23072228413734544,56760,0.22814307114365714,0.00032768790314235453,False,False,True
BVP.HRV__hrv_cvnni,False,17390,0.23072228413734544,56376,0.006977152455682853,0.00032768790314235453,False,False,True
BVP.HRV__hrv_cvsd,False,17390,0.23072228413734544,56729,0.01198596676530321,0.00032768790314235453,False,False,True
BVP.HRV__hrv_energy,False,17390,0.23072228413734544,46852,106283592445327.86,0.00032768790314235453,False,False,True
BVP.HRV__hrv_hf,False,17390,0.23072228413734544,56804,38476147.56865218,0.00032768790314235453,False,False,True
BVP.HRV__hrv_hfnu,False,17390,0.23072228413734544,56804,305.50618456430914,0.00032768790314235453,False,False,True
BVP.HRV__hrv_iqr,False,17390,0.23072228413734544,185,10061.337428668554,0.053982270359766826,False,False,True
BVP.HRV__hrv_iqr_5_95,False,17390,0.23072228413734544,5150,42174.99858269611,0.0087613397261219,False,False,True
BVP.HRV__hrv_kurtosis,False,17390,0.23072228413734544,56571,17.286785351667213,0.00032768790314235453,False,False,True
BVP.HRV__hrv_lf,False,17390,0.23072228413734544,56804,24544261.706343576,0.00032768790314235453,False,False,True
BVP.HRV__hrv_lf_hf_ratio,False,17390,0.23072228413734544,56804,1.3200178770576683,0.00032768790314235453,False,False,True
BVP.HRV__hrv_lfnu,False,17390,0.23072228413734544,56804,305.50618456430914,0.00032768790314235453,False,False,True
BVP.HRV__hrv_lineintegral,False,17390,0.23072228413734544,537,1453833.608195399,0.005863888793073713,False,False,True
BVP.HRV__hrv_max,False,17390,0.23072228413734544,92,44794.2706251338,0.038046290228001794,False,False,True
BVP.HRV__hrv_max_hr,False,17390,0.23072228413734544,49,761.8094905059879,0.04716981132075472,False,False,True
BVP.HRV__hrv_mean,False,17390,0.23072228413734544,21886,13800.426441678139,0.0022420751267634782,False,False,True
BVP.HRV__hrv_mean_hr,False,17390,0.23072228413734544,56484,141.5539087814667,0.00032768790314235453,False,False,True
BVP.HRV__hrv_mean_nni,False,17390,0.23072228413734544,21886,13800.426441678139,0.0022420751267634782,False,False,True
BVP.HRV__hrv_median_nni,False,17390,0.23072228413734544,120,18144.06125640673,0.04337553033700114,False,False,True
BVP.HRV__hrv_min,False,17390,0.23072228413734544,49,16929.164191223026,0.04716981132075472,False,False,True
BVP.HRV__hrv_min_hr,False,17390,0.23072228413734544,92,71.87725673133586,0.038046290228001794,False,False,True
BVP.HRV__hrv_n_above_mean,False,17390,0.23072228413734544,66,62.69975297458113,0.057983512124452415,False,False,True
BVP.HRV__hrv_n_below_mean,False,17390,0.23072228413734544,86,98.61702311930964,0.05839743368631644,False,False,True
BVP.HRV__hrv_nni_20,False,17390,0.23072228413734544,58,66.0699625815108,0.04970508088717188,False,False,True
BVP.HRV__hrv_nni_50,False,17390,0.23072228413734544,43,33.509369823768196,0.0706426132247939,False,False,True
BVP.HRV__hrv_pct_5,False,17390,0.23072228413734544,898,15330.358154914058,0.022610465316822464,False,False,True
BVP.HRV__hrv_pct_95,False,17390,0.23072228413734544,4115,30970.717945660545,0.01348694422406954,False,False,True
BVP.HRV__hrv_peaks,False,17390,0.23072228413734544,37,14.627779060427395,0.12879859266668967,False,False,True
BVP.HRV__hrv_pnni_20,False,17390,0.23072228413734544,1353,182.56109057663448,0.022731192439032804,False,False,True
BVP.HRV__hrv_pnni_50,False,17390,0.23072228413734544,1323,388.8061559012734,0.026335759373598704,False,False,True
BVP.HRV__hrv_ptp,False,17390,0.23072228413734544,99,67399.49878651465,0.024800800248352937,False,False,True
BVP.HRV__hrv_range_nni,False,17390,0.23072228413734544,99,67399.49878651465,0.024800800248352937,False,False,True
BVP.HRV__hrv_rms,False,17390,0.23072228413734544,54665,13925.61595494239,0.00032768790314235453,False,False,True
BVP.HRV__hrv_rmssd,False,17390,0.23072228413734544,47443,8386.700624592073,0.00032768790314235453,False,False,True
BVP.HRV__hrv_sdnn,False,17390,0.23072228413734544,55538,4848.908846604422,0.00032768790314235453,False,False,True
BVP.HRV__hrv_sdsd,False,17390,0.23072228413734544,55536,8333.4388336957,0.00032768790314235453,False,False,True
BVP.HRV__hrv_skewness,False,17390,0.23072228413734544,56584,1.3250754472999613,0.00032768790314235453,False,False,True
BVP.HRV__hrv_std,False,17390,0.23072228413734544,55373,4558.597956066808,0.00032768790314235453,False,False,True
BVP.HRV__hrv_std_hr,False,17390,0.23072228413734544,56439,50.78691747929951,0.00032768790314235453,False,False,True
BVP.HRV__hrv_sum,False,17390,0.23072228413734544,3261,130799378.9421593,0.0008623365872167224,False,False,True
BVP.HRV__hrv_total_power,False,17390,0.23072228413734544,56804,135777989.7063701,0.00032768790314235453,False,False,True
BVP.HRV__hrv_vlf,False,17390,0.23072228413734544,56771,9189498.64955459,0.0007416094650063813,False,False,True
BVP.HRV__hrv_entropy,False,17404,0.23090802950697872,56502,0.1786493185487421,0.0003277670438862821,False,False,True
BVP.HRV__hrv_perm_entropy,False,17404,0.23090802950697872,602,0.001013899891810012,0.08720328457079768,False,False,True
BVP.HRV__hrv_svd_entropy,False,17404,0.23090802950697872,56783,0.017131358962024872,0.0003277670438862821,False,False,True
ACC.L2__ACC.L2_n_sign_changes,False,0,0.0,1,0.0,1.0,True,True,True
BVP.stat__BVP.stat_entropy,False,0,0.0,1,,1.0,True,True,True
TEMP__TEMP_n_sign_changes,False,0,0.0,1,0.0,1.0,True,True,True
TEMP__TEMP_peaks,False,0,0.0,1,0.0,1.0,True,True,True
BVP.HRV__hrv_n_sign_changes,False,17390,0.23072228413734544,1,0.0,1.0,True,True,True
